caller	caller_module	callee	callee_module	cross_module
ps2vnc_config_parse_display_policy	config	ps2vnc_video_mode_by_name	display_geometry	1
ps2vnc_config_parse_display_section	config	ps2vnc_config_parse_display_section	config	0
ps2vnc_config_parse_display_section	config	ps2vnc_config_parse_int	config	0
ps2vnc_config_parse_display_section	config	ps2vnc_config_trim_left	config	0
ps2vnc_config_parse_display_section	config	ps2vnc_config_trim_right	config	0
ps2vnc_config_parse_display_section	config	screen_fit_geometry_valid_for_mode	display_calibration	1
ps2vnc_config_parse_int	config	ps2vnc_config_parse_int	config	0
ps2vnc_config_parse_startup_mode	config	ps2vnc_config_parse_startup_mode	config	0
ps2vnc_config_parse_startup_mode	config	ps2vnc_config_trim_left	config	0
ps2vnc_config_parse_startup_mode	config	ps2vnc_config_trim_right	config	0
ps2vnc_config_parse_startup_mode	config	ps2vnc_video_mode_by_name	display_geometry	1
ps2vnc_config_presented_geometry_for_mode	config	ps2vnc_config_presented_geometry_for_mode	config	0
ps2vnc_config_presented_geometry_for_mode	config	region_fits_u32	other	1
ps2vnc_config_presented_geometry_for_mode	config	screen_fit_geometry_valid_for_mode	display_calibration	1
ps2vnc_config_trim_left	config	ps2vnc_config_trim_left	config	0
ps2vnc_config_trim_right	config	ps2vnc_config_trim_right	config	0
ps2vnc_controller_pad_acquire	input	ps2vnc_controller_pad_acquire	input	0
ps2vnc_controller_pad_release	input	ps2vnc_controller_pad_release	input	0
ps2vnc_controller_pad_wait_release	input	ps2vnc_controller_pad_wait_release	input	0
ps2vnc_discard_controller_rfb_queue	other	ps2vnc_discard_controller_rfb_queue	other	0
ps2vnc_display_begin_update	other	ps2vnc_display_begin_update	other	0
ps2vnc_display_begin_update	other	ps2vnc_display_direct_write_cancel	display_backend	1
ps2vnc_display_begin_update	other	ps2vnc_hires_requires_raster_mapping	display_backend	1
ps2vnc_display_commit_update	display_backend	ps2vnc_display_commit_update	display_backend	0
ps2vnc_display_commit_update	display_backend	ps2vnc_display_commit_update_hires	display_backend	0
ps2vnc_display_commit_update	display_backend	ps2vnc_display_commit_update_standard	display_backend	0
ps2vnc_display_commit_update_hires	display_backend	ps2vnc_display_commit_update_hires	display_backend	0
ps2vnc_display_commit_update_hires	display_backend	ps2vnc_hires_requires_raster_mapping	display_backend	0
ps2vnc_display_commit_update_hires	display_backend	ps2vnc_publish_mapped_hires_dirty_frame	display_backend	0
ps2vnc_display_commit_update_hires	display_backend	sync_copy_hires_dirty_rows	display_backend	0
ps2vnc_display_commit_update_standard	display_backend	ps2vnc_display_commit_update_standard	display_backend	0
ps2vnc_display_create	other	ps2vnc_display_create	other	0
ps2vnc_display_create	other	ps2vnc_display_create_hires	display_backend	1
ps2vnc_display_create	other	ps2vnc_display_create_standard	other	0
ps2vnc_display_create	other	ps2vnc_video_mode_default_backend	display_geometry	1
ps2vnc_display_create_hires	display_backend	ps2vnc_display_create_hires	display_backend	0
ps2vnc_display_create_hires	display_backend	ps2vnc_hires_effective_width	display_backend	0
ps2vnc_display_create_standard	other	ps2vnc_display_create_standard	other	0
ps2vnc_display_destroy	other	ps2vnc_display_destroy	other	0
ps2vnc_display_destroy	other	ps2vnc_display_destroy_hires	display_backend	1
ps2vnc_display_destroy	other	ps2vnc_display_destroy_standard	other	0
ps2vnc_display_destroy_hires	display_backend	ps2vnc_display_destroy_hires	display_backend	0
ps2vnc_display_destroy_hires	display_backend	ps2vnc_display_release_ee_buffers	other	1
ps2vnc_display_destroy_standard	other	ps2vnc_display_destroy_standard	other	0
ps2vnc_display_direct_write_active	display_backend	ps2vnc_display_direct_write_active	display_backend	0
ps2vnc_display_direct_write_active	display_backend	ps2vnc_hires_requires_raster_mapping	display_backend	0
ps2vnc_display_direct_write_cancel	display_backend	ps2vnc_display_direct_write_cancel	display_backend	0
ps2vnc_display_direct_write_row	display_backend	hires_bg_storage_row	display_backend	0
ps2vnc_display_direct_write_row	display_backend	ps2vnc_display_direct_write_active	display_backend	0
ps2vnc_display_direct_write_row	display_backend	ps2vnc_display_direct_write_row	display_backend	0
ps2vnc_display_draw_desktop	display_backend	ps2vnc_display_draw_desktop	display_backend	0
ps2vnc_display_draw_desktop	display_backend	ps2vnc_display_output_x	other	1
ps2vnc_display_draw_desktop	display_backend	ps2vnc_display_output_y	other	1
ps2vnc_display_finish_draw	display_backend	ps2vnc_display_finish_draw	display_backend	0
ps2vnc_display_finish_update_decode	other	ps2vnc_display_direct_write_cancel	display_backend	1
ps2vnc_display_finish_update_decode	other	ps2vnc_display_finish_update_decode	other	0
ps2vnc_display_flip	other	ps2vnc_display_flip	other	0
ps2vnc_display_logical_desktop_size	display_geometry	ps2vnc_display_logical_desktop_size	display_geometry	0
ps2vnc_display_output_x	other	ps2vnc_display_output_x	other	0
ps2vnc_display_output_x	other	ps2vnc_hires_effective_width	display_backend	1
ps2vnc_display_output_y	other	ps2vnc_display_output_y	other	0
ps2vnc_display_policy_hide_to_pi	other	ps2vnc_display_policy_hide_to_pi	other	0
ps2vnc_display_policy_hide_to_pi	other	ps2vnc_management_post_text	management	1
ps2vnc_display_policy_lock_to_pi	other	display_menu_mode_at_selection	ui	1
ps2vnc_display_policy_lock_to_pi	other	ps2vnc_display_policy_lock_to_pi	other	0
ps2vnc_display_policy_lock_to_pi	other	ps2vnc_management_post_text	management	1
ps2vnc_display_policy_refresh_from_pi	other	ps2vnc_config_parse_display_policy	config	1
ps2vnc_display_policy_refresh_from_pi	other	ps2vnc_display_policy_refresh_from_pi	other	0
ps2vnc_display_policy_refresh_from_pi	other	ps2vnc_management_get	management	1
ps2vnc_display_prepare_desktop	other	ps2vnc_display_prepare_desktop	other	0
ps2vnc_display_prepare_desktop	other	ps2vnc_display_prepare_desktop_hires	display_backend	1
ps2vnc_display_prepare_desktop	other	ps2vnc_display_prepare_desktop_standard	other	0
ps2vnc_display_prepare_desktop_hires	display_backend	ps2vnc_display_prepare_desktop_hires	display_backend	0
ps2vnc_display_prepare_desktop_hires	display_backend	ps2vnc_display_release_ee_buffers	other	1
ps2vnc_display_prepare_desktop_hires	display_backend	ps2vnc_hires_requires_raster_mapping	display_backend	0
ps2vnc_display_prepare_desktop_hires	display_backend	ps2vnc_hires_storage_bytes	display_backend	0
ps2vnc_display_prepare_desktop_hires	display_backend	ps2vnc_hires_storage_height	display_backend	0
ps2vnc_display_prepare_desktop_hires	display_backend	ps2vnc_hires_storage_width	display_backend	0
ps2vnc_display_prepare_desktop_hires	display_backend	publish_hires_background	display_backend	0
ps2vnc_display_prepare_desktop_standard	other	ps2vnc_display_prepare_desktop_standard	other	0
ps2vnc_display_prepare_osk	other	ps2vnc_display_prepare_osk	other	0
ps2vnc_display_profile_capture_active	other	ps2vnc_display_profile_capture_active	other	0
